814,24.8,76.6,26.3,79.3
815,13,55.4,13.6,56.4
816,21,69.8,21,69.8
817,18.3,64.9,18.3,64.9
818,20.7,69.3,20.7,69.3
819,26,78.8,26.4,79.4
820,21,69.8,21,69.8
821,17,62.6,17,62.6
822,31,87.8,44.9,112.8
823,24,75.2,25.8,78.5
824,17,62.6,17,62.6
825,26,78.8,26.4,79.5
826,15,59,14.1,57.3
827,32.4,90.3,37.4,99.3
828,27,80.6,30.1,86.2
829,28,82.4,30.9,87.7
830,14.8,58.6,15.4,59.7
831,26,78.8,27.6,81.7
832,24,75.2,25.9,78.6
833,24.5,76.1,26.9,80.4
834,18.1,64.6,18.1,64.6
835,10,50,7.9,46.1
836,12.8,55,13.1,55.6
837,14,57.2,14.6,58.2
838,28,82.4,32,89.6
839,12,53.6,11,51.7
840,18,64.4,18,64.4
841,26,78.8,28.6,83.4
842,23,73.4,25.2,77.4
843,24,75.2,25.5,77.9
844,12,53.6,12,53.6
845,26,78.8,29.3,84.8
846,25,77,25.7,78.2
847,29,84.2,34,93.2
848,26,78.8,29.2,84.5
849,27,80.6,30.5,87
850,25,77,27.7,81.8
851,28,82.4,33.5,92.3
852,31,87.8,44.1,111.4
853,20,68,20,68
854,22,71.6,24.6,76.2
855,15,59,15.6,60.1
856,11.8,53.2,7.2,45
857,31.3,88.3,31.5,88.7
858,24,75.2,25.7,78.2
859,26,78.8,25.1,77.2
860,34,93.2,32.6,90.7
861,13,55.4,12.7,54.8
862,26,78.8,28.1,82.7
863,20,68,20,68
864,33,91.4,50.4,122.6
865,30,86,34.1,93.4
866,26,78.8,26.9,80.3
867,7,44.6,4.8,40.6
868,17,62.6,17,62.6
869,29,84.2,34,93.2
870,34.8,94.6,34.8,94.6
871,14.5,58.1,15,59
872,18,64.4,18,64.4
873,14,57.2,12.5,54.4
874,27,80.6,29.3,84.8
875,12.5,54.5,12.3,54.1
876,25,77,28,82.4
877,26,78.8,30.6,87.1
878,16,60.8,16,60.8
879,14,57.2,12.7,54.9
880,15,59,15.5,59.9
881,12,53.6,11.6,52.8
882,19.4,66.9,19.4,66.9
883,25,77,27.9,82.3
884,26.9,80.4,30.3,86.5
885,27,80.6,29.1,84.4
886,23,73.4,25,77
887,29,84.2,33.3,92
888,28,82.4,32.3,90.1
889,22,71.6,24.5,76.1
890,20,68,20,68
891,29,84.2,34.7,94.4
892,13.9,57,13.4,56.1
893,23,73.4,25.1,77.1
894,11,51.8,8.8,47.8
895,20,68,20,68
896,22,71.6,24.5,76.1
897,19,66.2,19,66.2
898,25.8,78.4,29.2,84.6
899,15,59,14.6,58.3
900,24,75.2,25.8,78.4
901,21,69.8,21,69.8
902,17,62.6,17,62.6
903,16,60.8,16,60.8
904,31,87.8,37.9,100.2
905,30,86,33,91.3
906,22,71.6,24.6,76.3
907,19.7,67.5,19.7,67.5
